"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat60","mat30","mat45"
2376,115.814475017876,36.5532330405569,6.768064364851,17,1982,53.15,8.2,"53.15 8.2","1970-1990",132,5.98893429236639,8.7674998040311,6.52066652091841
2712,125.900553735938,93.0577314643259,8.23983852550267,17,1983,53.15,8.2,"53.15 8.2","1970-1990",118,6.93942607439993,5.71593737223884,5.68413030773239
2604,128.217785159192,66.4641119597427,7.03935468136784,17,1984,53.15,8.2,"53.15 8.2","1970-1990",122,4.92188513588893,5.79203112053801,5.45999987795949
1824,103.379437672728,86.5976197633852,8.01145143383333,17,1985,53.15,8.2,"53.15 8.2","1970-1990",130,5.67303266008308,5.45624987804331,2.8744443801956
2556,124.640564574329,95.4607434726329,7.71499982755631,17,1986,53.15,8.2,"53.15 8.2","1970-1990",124,4.99549169162075,2.39453119647806,6.27206507719972
2040,109.182594025709,131.966841489956,9.71274171838717,17,1987,53.15,8.2,"53.15 8.2","1970-1990",121,4.59778678247736,6.50609360457747,7.55641287457927
3504,140.566538748904,64.5495868498669,7.41741918904647,17,1988,53.15,8.2,"53.15 8.2","1970-1990",110,5.86057363949777,7.30312483676244,6.3031109702256
2724,127.995041043786,62.5295433709573,7.22629016106047,17,1989,53.15,8.2,"53.15 8.2","1970-1990",119,7.35286868810959,5.60781237465562,4.97673901919599
3228,137.442232499246,55.7324662369558,7.19661274236897,17,1990,53.15,8.2,"53.15 8.2","1970-1990",110,8.14188506391632,6.7096873500268,5.88282595546511
1980,106.191459016337,97.6168585875544,8.64596754868304,18,1971,48.65,9.86667,"48.65 9.86667","1970-1990",125,3.9864753207314,7.49843733239686,5.12989118968582
2676,116.898066626525,57.4435832663364,6.919677264688,18,1972,48.65,9.86667,"48.65 9.86667","1970-1990",122,6.04590150420783,7.03437484276947,4.64673902657207
1584,93.392483638077,96.0178545270903,6.34983856774746,18,1973,48.65,9.86667,"48.65 9.86667","1970-1990",125,3.18836058447229,5.39937487931456,3.72833324999859
